iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0102,NR,EL	152 	129 	117 	124 	150 	132 	169 	155 	177 	185 	182 	193 	187 	165 
ICCS0102,NR,ES	1034 	980 	834 	829 	820 	813 	715 	725 	662 	761 	817 	765 	831 	887 
ICCS0102,NR,FI	374 	383 	329 	355 	348 	311 	299 	327 	264 	349 	308 	307 	366 	363 
ICCS0102,NR,FR	3401 	3300 	2932 	2658 	2457 	2377 	2112 	1678 	1503 	1560 	1327 	1210 	1074 	1168 
ICCS0102,NR,HR	103 	108 	98 	90 	125 	93 	105 	113 	126 	101 	123 	125 	: 	: 
ICCS0102,NR,HU	63 	92 	55 	59 	72 	97 	86 	106 	105 	108 	133 	143 	136 	145 
ICCS0102,NR,IE	16 	19 	27 	14 	13 	24 	13 	15 	13 	9 	8 	7 	7 	11 
ICCS0102,NR,IS	8 	5 	2 	5 	8 	6 	1 	5 	5 	6 	3 	4 	4 	: 
ICCS0102,NR,IT	928 	876 	1019 	1050 	1098 	1079 	1203 	1250 	1222 	1327 	1399 	1309 	1346 	1621 
ICCS0102,NR,LI	4 	: 	1 	: 	: 	0 	0 	1 	0 	0 	3 	0 	0 	1 
ICCS0102,NR,LT	6 	11 	15 	31 	16 	19 	21 	19 	14 	18 	23 	18 	19 	15 
ICCS0102,NR,LU	69 	96 	59 	69 	74 	72 	65 	84 	83 	110 	89 	77 	79 	84 
ICCS0102,NR,LV	19 	20 	30 	23 	18 	14 	2 	4 	5 	13 	22 	13 	0 	20 
ICCS0102,NR,ME	36 	37 	42 	37 	51 	35 	40 	54 	40 	16 	17 	42 	41 	18 
ICCS0102,NR,MK	: 	: 	: 	: 	56 	58 	47 	75 	52 	48 	39 	38 	46 	41 
ICCS0102,NR,MT	8 	4 	5 	6 	6 	1 	1 	5 	3 	6 	6 	4 	6 	5 
ICCS0102,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	3260 	3615 	3957 	3841 	3041 	1500 
ICCS0102,NR,NO	83 	87 	68 	70 	49 	41 	61 	60 	57 	50 	39 	47 	46 	49 
ICCS0102,NR,PL	314 	329 	293 	230 	221 	170 	172 	210 	233 	201 	209 	241 	266 	298 
ICCS0102,NR,RO	300 	335 	361 	445 	384 	438 	482 	492 	595 	591 	502 	513 	387 	410 
ICCS0102,NR,RS	123 	124 	137 	95 	111 	152 	138 	172 	221 	203 	186 	204 	211 	204 
ICCS0102,NR,SE	993 	1085 	983 	868 	909 	879 	838 	792 	728 	798 	842 	792 	791 	751 
ICCS0102,NR,SI	22 	34 	17 	37 	41 	26 	26 	16 	28 	30 	34 	31 	38 	19 
ICCS0102,NR,SK	: 	: 	: 	: 	80 	: 	48 	72 	78 	0 	0 	0 	0 	0 
ICCS0102,NR,UKM	: 	: 	: 	310 	245 	236 	293 	263 	317 	403 	542 	518 	614 	698 
ICCS0102,NR,UKN	: 	: 	: 	74 	99 	78 	112 	111 	102 	116 	111 	118 	114 	121 
ICCS0102,NR,XK	110 	115 	116 	139 	134 	147 	156 	167 	168 	161 	197 	151 	183 	157 
ICCS0102,P_HTHAB,AL	3.57 	4.01 	3.25 	3.97 	4.48 	4.57 	4.78 	6.25 	: 	: 	7.56 	: 	7.25 	7.63 
ICCS0102,P_HTHAB,AT	1.35 	1.49 	1.93 	1.48 	1.72 	1.14 	1.12 	0.82 	1.24 	1.30 	1.25 	1.34 	1.22 	0.70 
ICCS0102,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.22 	1.30 	1.74 	: 	2.39 
ICCS0102,P_HTHAB,BE	8.94 	8.72 	8.89 	9.01 	8.55 	7.79 	7.83 	7.59 	7.26 	7.55 	7.80 	7.03 	6.94 	6.39 
ICCS0102,P_HTHAB,BG	0.40 	0.46 	0.54 	0.65 	0.44 	1.06 	0.46 	0.63 	0.92 	0.61 	0.83 	0.84 	0.88 	0.80 
ICCS0102,P_HTHAB,CH	2.12 	2.39 	1.88 	1.76 	2.27 	2.25 	1.71 	1.62 	1.89 	2.31 	2.34 	2.40 	2.40 	1.46 
ICCS0102,P_HTHAB,CY	1.45 	1.80 	1.71 	0.93 	1.17 	0.83 	1.30 	1.17 	0.92 	1.39 	1.55 	1.34 	2.38 	1.67 
ICCS0102,P_HTHAB,CZ	0.55 	0.64 	0.58 	0.41 	0.43 	0.67 	0.64 	0.75 	0.87 	0.89 	0.86 	0.65 	0.73 	0.86 
ICCS0102,P_HTHAB,DE	1.87 	2.13 	2.18 	2.33 	2.09 	2.14 	1.91 	2.01 	1.98 	1.98 	1.94 	1.98 	2.01 	1.96 
ICCS0102,P_HTHAB,DK	2.28 	2.59 	2.57 	3.62 	3.69 	3.40 	2.49 	2.63 	2.95 	2.54 	2.66 	2.75 	3.77 	3.59 
ICCS0102,P_HTHAB,EE	0.68 	0.98 	0.83 	1.36 	1.22 	0.84 	1.29 	1.06 	0.76 	1.28 	2.63 	1.05 	1.87 	1.49 
ICCS0102,P_HTHAB,EL	1.42 	1.20 	1.09 	1.15 	1.39 	1.22 	1.56 	1.42 	1.61 	1.67 	1.64 	1.74 	1.69 	1.48 
ICCS0102,P_HTHAB,ES	2.18 	2.07 	1.78 	1.78 	1.76 	1.75 	1.54 	1.56 	1.42 	1.63 	1.75 	1.65 	1.80 	1.94 
ICCS0102,P_HTHAB,FI	6.76 	6.93 	5.96 	6.44 	6.32 	5.67 	5.46 	6.00 	4.86 	6.46 	5.73 	5.74 	6.87 	6.85 
ICCS0102,P_HTHAB,FR	5.03 	4.90 	4.36 	3.97 	3.68 	3.57 	3.18 	2.54 	2.29 	2.39 	2.04 	1.87 	1.67 	1.82 
ICCS0102,P_HTHAB,HR	2.55 	2.66 	2.40 	2.19 	3.01 	2.22 	2.49 	2.66 	2.96 	2.36 	2.87 	2.91 	: 	: 
ICCS0102,P_HTHAB,HU	0.65 	0.94 	0.56 	0.60 	0.73 	0.99 	0.87 	1.07 	1.06 	1.09 	1.33 	1.43 	1.36 	1.44 
ICCS0102,P_HTHAB,IE	0.32 	0.38 	0.55 	0.29 	0.27 	0.51 	0.28 	0.33 	0.28 	0.19 	0.17 	0.15 	0.15 	0.24 
ICCS0102,P_HTHAB,IS	2.17 	1.37 	0.56 	1.43 	2.36 	1.80 	0.30 	1.54 	1.55 	1.88 	0.94 	1.26 	1.25 	: 
ICCS0102,P_HTHAB,IT	1.57 	1.47 	1.70 	1.74 	1.81 	1.78 	1.98 	2.06 	2.05 	2.23 	2.36 	2.21 	2.28 	2.76 
ICCS0102,P_HTHAB,LI	10.24 	: 	2.61 	: 	: 	0.00 	0.00 	2.69 	0.00 	0.00 	8.30 	0.00 	0.00 	2.83 
ICCS0102,P_HTHAB,LT	0.21 	0.39 	0.54 	1.10 	0.56 	0.66 	0.72 	0.65 	0.47 	0.60 	0.75 	0.57 	0.60 	0.47 
ICCS0102,P_HTHAB,LU	10.87 	15.33 	9.61 	11.46 	12.53 	12.49 	11.55 	15.28 	15.46 	20.96 	17.39 	15.34 	16.01 	17.36 
ICCS0102,P_HTHAB,LV	1.00 	1.05 	1.56 	1.19 	0.92 	0.71 	0.10 	0.20 	0.25 	0.64 	1.06 	0.61 	0.00 	0.91 
ICCS0102,P_HTHAB,ME	5.80 	5.95 	6.75 	5.95 	8.19 	5.63 	6.43 	8.69 	6.44 	2.58 	2.74 	6.79 	6.64 	2.92 
ICCS0102,P_HTHAB,MK	: 	: 	: 	: 	2.70 	2.80 	2.27 	3.63 	2.52 	2.33 	1.90 	1.85 	2.25 	2.00 
ICCS0102,P_HTHAB,MT	1.55 	0.78 	1.01 	1.26 	1.30 	0.22 	0.23 	1.18 	0.71 	1.44 	1.45 	0.97 	1.46 	1.23 
